#options: 1280x720 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=22 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=365 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:76 out:73 type:P dur:2 cpbdur:2 q:31.67 aq:16.74 tex:12435 mv:958 misc:335 imb:27 pmb:49 smb:3524 d:- ref:0 ;
in:74 out:74 type:B dur:2 cpbdur:2 q:32.17 aq:21.00 tex:11 mv:65 misc:372 imb:0 pmb:39 smb:3561 d:- ref:0 ;
in:73 out:75 type:b dur:2 cpbdur:2 q:32.42 aq:23.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:75 out:76 type:b dur:2 cpbdur:2 q:31.92 aq:23.00 tex:10 mv:60 misc:346 imb:0 pmb:38 smb:3562 d:- ref:0 ;
in:80 out:77 type:P dur:2 cpbdur:2 q:30.31 aq:15.94 tex:6915 mv:651 misc:370 imb:9 pmb:62 smb:3529 d:- ref:0 ;
in:78 out:78 type:B dur:2 cpbdur:2 q:30.99 aq:25.71 tex:764 mv:459 misc:329 imb:0 pmb:41 smb:3559 d:- ref:0 ;
in:77 out:79 type:b dur:2 cpbdur:2 q:31.33 aq:22.00 tex:10 mv:150 misc:336 imb:0 pmb:33 smb:3567 d:- ref:0 ;
in:79 out:80 type:b dur:2 cpbdur:2 q:30.65 aq:24.38 tex:46 mv:80 misc:346 imb:0 pmb:29 smb:3571 d:- ref:0 ;
in:84 out:81 type:P dur:2 cpbdur:2 q:28.97 aq:14.03 tex:7696 mv:653 misc:395 imb:8 pmb:72 smb:3520 d:- ref:0 ;
in:82 out:82 type:B dur:2 cpbdur:2 q:29.64 aq:24.59 tex:542 mv:447 misc:331 imb:0 pmb:37 smb:3563 d:- ref:0 ;
in:81 out:83 type:b dur:2 cpbdur:2 q:29.97 aq:25.69 tex:390 mv:380 misc:310 imb:1 pmb:31 smb:3568 d:- ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:29.30 aq:20.00 tex:13 mv:65 misc:330 imb:0 pmb:29 smb:3571 d:- ref:0 ;
in:88 out:85 type:P dur:2 cpbdur:2 q:27.75 aq:12.60 tex:9317 mv:766 misc:381 imb:8 pmb:80 smb:3512 d:- ref:0 ;
in:86 out:86 type:B dur:2 cpbdur:2 q:28.36 aq:22.79 tex:1421 mv:646 misc:341 imb:0 pmb:50 smb:3550 d:- ref:0 ;
in:85 out:87 type:b dur:2 cpbdur:2 q:28.67 aq:24.60 tex:524 mv:447 misc:333 imb:0 pmb:37 smb:3563 d:- ref:0 ;
in:87 out:88 type:b dur:2 cpbdur:2 q:28.06 aq:24.77 tex:888 mv:433 misc:335 imb:0 pmb:41 smb:3559 d:- ref:0 ;
in:92 out:89 type:P dur:2 cpbdur:2 q:26.63 aq:11.96 tex:9529 mv:664 misc:383 imb:7 pmb:72 smb:3521 d:- ref:0 ;
in:90 out:90 type:B dur:2 cpbdur:2 q:27.19 aq:22.32 tex:2119 mv:554 misc:335 imb:0 pmb:50 smb:3550 d:- ref:0 ;
in:89 out:91 type:b dur:2 cpbdur:2 q:27.47 aq:18.00 tex:13 mv:74 misc:361 imb:0 pmb:36 smb:3564 d:- ref:0 ;
in:91 out:92 type:b dur:2 cpbdur:2 q:26.91 aq:22.26 tex:97 mv:90 misc:349 imb:0 pmb:35 smb:3565 d:- ref:0 ;
in:96 out:93 type:P dur:2 cpbdur:2 q:25.63 aq:10.91 tex:11305 mv:726 misc:417 imb:1 pmb:90 smb:3509 d:- ref:0 ;
in:94 out:94 type:B dur:2 cpbdur:2 q:26.13 aq:20.99 tex:1782 mv:585 misc:329 imb:0 pmb:50 smb:3550 d:- ref:0 ;
in:93 out:95 type:b dur:2 cpbdur:2 q:26.38 aq:23.04 tex:1286 mv:526 misc:308 imb:0 pmb:46 smb:3554 d:- ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:25.88 aq:17.00 tex:19 mv:67 misc:370 imb:0 pmb:36 smb:3564 d:- ref:0 ;
in:100 out:97 type:P dur:2 cpbdur:2 q:24.99 aq:11.15 tex:12941 mv:698 misc:425 imb:2 pmb:81 smb:3517 d:- ref:0 ;
in:98 out:98 type:B dur:2 cpbdur:2 q:25.31 aq:20.16 tex:2860 mv:900 misc:320 imb:0 pmb:63 smb:3537 d:- ref:0 ;
in:97 out:99 type:b dur:2 cpbdur:2 q:25.47 aq:22.33 tex:1453 mv:526 misc:341 imb:0 pmb:43 smb:3557 d:- ref:0 ;
in:99 out:100 type:b dur:2 cpbdur:2 q:25.15 aq:21.50 tex:1989 mv:533 misc:326 imb:0 pmb:53 smb:3547 d:- ref:0 ;
in:104 out:101 type:P dur:2 cpbdur:2 q:24.38 aq:11.10 tex:12275 mv:735 misc:470 imb:5 pmb:90 smb:3505 d:- ref:0 ;
in:102 out:102 type:B dur:2 cpbdur:2 q:24.69 aq:19.85 tex:3093 mv:623 misc:348 imb:0 pmb:58 smb:3542 d:- ref:0 ;
in:101 out:103 type:b dur:2 cpbdur:2 q:24.84 aq:16.00 tex:18 mv:79 misc:367 imb:0 pmb:39 smb:3561 d:- ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:24.53 aq:16.00 tex:17 mv:112 misc:375 imb:0 pmb:41 smb:3559 d:- ref:0 ;
in:108 out:105 type:P dur:2 cpbdur:2 q:23.83 aq:8.82 tex:14247 mv:748 misc:637 imb:4 pmb:115 smb:3481 d:- ref:0 ;
in:106 out:106 type:B dur:2 cpbdur:2 q:24.11 aq:19.72 tex:2920 mv:697 misc:367 imb:0 pmb:62 smb:3538 d:- ref:0 ;
in:105 out:107 type:b dur:2 cpbdur:2 q:24.24 aq:20.90 tex:2302 mv:631 misc:355 imb:0 pmb:58 smb:3542 d:- ref:0 ;
in:107 out:108 type:b dur:2 cpbdur:2 q:23.97 aq:15.00 tex:18 mv:72 misc:366 imb:0 pmb:38 smb:3562 d:- ref:0 ;
in:112 out:109 type:P dur:2 cpbdur:2 q:23.37 aq:7.80 tex:24729 mv:1025 misc:686 imb:10 pmb:134 smb:3456 d:- ref:0 ;
in:110 out:110 type:B dur:2 cpbdur:2 q:23.60 aq:19.29 tex:4914 mv:882 misc:324 imb:0 pmb:76 smb:3524 d:- ref:0 ;
in:109 out:111 type:b dur:2 cpbdur:2 q:23.72 aq:21.03 tex:2531 mv:571 misc:362 imb:0 pmb:52 smb:3548 d:- ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:23.49 aq:20.48 tex:4481 mv:1062 misc:313 imb:0 pmb:75 smb:3525 d:- ref:0 ;
in:116 out:113 type:P dur:2 cpbdur:2 q:23.00 aq:7.67 tex:21146 mv:910 misc:1304 imb:8 pmb:248 smb:3344 d:- ref:0 ;
in:114 out:114 type:B dur:2 cpbdur:2 q:23.19 aq:18.49 tex:5410 mv:877 misc:353 imb:2 pmb:68 smb:3530 d:- ref:0 ;
in:113 out:115 type:b dur:2 cpbdur:2 q:23.28 aq:14.00 tex:17 mv:124 misc:395 imb:1 pmb:45 smb:3554 d:- ref:0 ;
in:115 out:116 type:b dur:2 cpbdur:2 q:23.10 aq:15.55 tex:125 mv:118 misc:381 imb:0 pmb:45 smb:3555 d:- ref:0 ;
in:120 out:117 type:P dur:2 cpbdur:2 q:22.61 aq:6.32 tex:18818 mv:976 misc:1302 imb:5 pmb:251 smb:3344 d:- ref:0 ;
in:118 out:118 type:B dur:2 cpbdur:2 q:22.81 aq:19.05 tex:4813 mv:882 misc:337 imb:0 pmb:65 smb:3535 d:- ref:0 ;
in:117 out:119 type:b dur:2 cpbdur:2 q:22.90 aq:20.40 tex:3428 mv:829 misc:327 imb:0 pmb:63 smb:3537 d:- ref:0 ;
in:119 out:120 type:b dur:2 cpbdur:2 q:22.71 aq:14.00 tex:14 mv:81 misc:377 imb:0 pmb:44 smb:3556 d:- ref:0 ;
in:123 out:121 type:P dur:2 cpbdur:2 q:22.23 aq:5.96 tex:24024 mv:1090 misc:1430 imb:12 pmb:273 smb:3315 d:- ref:0 ;
in:121 out:122 type:B dur:2 cpbdur:2 q:22.48 aq:19.25 tex:4385 mv:937 misc:342 imb:0 pmb:72 smb:3528 d:- ref:0 ;
in:122 out:123 type:b dur:2 cpbdur:2 q:22.36 aq:19.92 tex:3739 mv:814 misc:351 imb:0 pmb:63 smb:3537 d:- ref:0 ;
in:127 out:124 type:P dur:2 cpbdur:2 q:22.07 aq:6.09 tex:21717 mv:963 misc:1488 imb:6 pmb:294 smb:3300 d:- ref:0 ;
in:125 out:125 type:B dur:2 cpbdur:2 q:22.15 aq:18.30 tex:6487 mv:886 misc:363 imb:0 pmb:67 smb:3533 d:- ref:0 ;
in:124 out:126 type:b dur:2 cpbdur:2 q:22.19 aq:17.45 tex:72 mv:93 misc:387 imb:0 pmb:45 smb:3555 d:- ref:0 ;
in:126 out:127 type:b dur:2 cpbdur:2 q:22.11 aq:13.00 tex:26 mv:77 misc:401 imb:0 pmb:48 smb:3552 d:- ref:0 ;
in:131 out:128 type:P dur:2 cpbdur:2 q:21.76 aq:5.10 tex:32615 mv:1164 misc:1925 imb:8 pmb:414 smb:3178 d:- ref:0 ;
in:129 out:129 type:B dur:2 cpbdur:2 q:21.92 aq:18.47 tex:5930 mv:1027 misc:411 imb:0 pmb:80 smb:3520 d:- ref:0 ;
in:128 out:130 type:b dur:2 cpbdur:2 q:21.99 aq:17.60 tex:4011 mv:868 misc:545 imb:2 pmb:83 smb:3515 d:- ref:0 ;
in:130 out:131 type:b dur:2 cpbdur:2 q:21.84 aq:20.17 tex:4003 mv:710 misc:343 imb:0 pmb:61 smb:3539 d:- ref:0 ;
in:135 out:132 type:P dur:2 cpbdur:2 q:21.72 aq:6.25 tex:25767 mv:1060 misc:1477 imb:7 pmb:292 smb:3301 d:- ref:0 ;
in:133 out:133 type:B dur:2 cpbdur:2 q:21.74 aq:18.55 tex:5268 mv:928 misc:348 imb:0 pmb:74 smb:3526 d:- ref:0 ;
in:132 out:134 type:b dur:2 cpbdur:2 q:21.75 aq:13.00 tex:23 mv:89 misc:384 imb:0 pmb:44 smb:3556 d:- ref:0 ;
in:134 out:135 type:b dur:2 cpbdur:2 q:21.73 aq:20.27 tex:3884 mv:833 misc:347 imb:0 pmb:66 smb:3534 d:- ref:0 ;
in:139 out:136 type:P dur:2 cpbdur:2 q:21.63 aq:5.80 tex:24916 mv:1042 misc:1442 imb:5 pmb:284 smb:3311 d:- ref:0 ;
in:137 out:137 type:B dur:2 cpbdur:2 q:21.68 aq:18.02 tex:6541 mv:1033 misc:362 imb:0 pmb:73 smb:3527 d:- ref:0 ;
in:136 out:138 type:b dur:2 cpbdur:2 q:21.70 aq:13.00 tex:22 mv:87 misc:395 imb:0 pmb:46 smb:3554 d:- ref:0 ;
in:138 out:139 type:b dur:2 cpbdur:2 q:21.65 aq:13.00 tex:29 mv:79 misc:412 imb:0 pmb:49 smb:3551 d:- ref:0 ;
